fen,type,wdl,dtz,num_pieces,turn
2Q1K1k1/8/8/8/1P6/8/7N/8 b - - 0 1,Q+N+P vs k,-2,-2,5,0
8/5k2/8/8/6Q1/1p6/8/4r1K1 w - - 0 1,Q vs k+r+p,2,5,5,1
1k6/8/8/8/8/8/8/7K w - - 0 1,K vs k,0,0,2,1
8/p3k3/8/8/8/2K3R1/8/8 w - - 0 1,R vs k+p,2,3,4,1
8/8/8/8/8/7K/8/4k3 b - - 0 1,K vs k,0,0,2,0
8/8/P7/5n2/3K3k/8/8/6P1 w - - 0 1,2P vs k+n,0,0,5,1
5b2/8/3K4/8/7Q/5k1R/8/8 w - - 0 1,Q+R vs k+b,2,3,5,1
2Q5/8/2b5/8/8/2K5/8/4k3 w - - 0 1,Q vs k+b,2,1,4,1
8/3R4/k4B2/8/6K1/8/8/8 b - - 0 1,R+B vs k,-2,-18,4,0
8/5K2/8/6k1/8/8/8/8 b - - 0 1,K vs k,0,0,2,0
2N5/8/8/8/1K6/2rk4/8/8 w - - 0 1,N vs k+r,0,0,4,1
8/8/8/8/8/K7/6k1/8 b - - 0 1,K vs k,0,0,2,0
2b1k3/8/1b2r2K/8/8/8/8/8 w - - 0 1,K vs k+r+2b,-2,-6,5,1
4k3/8/8/5N2/7P/3K4/8/8 b - - 0 1,N+P vs k,-2,-2,4,0
2k5/8/8/Q7/8/8/8/4K3 b - - 0 1,Q vs k,-2,-16,3,0
8/8/8/5k2/1K6/8/8/8 b - - 0 1,K vs k,0,0,2,0
2b5/8/8/8/3K4/8/8/7k b - - 0 1,K vs k+b,0,0,3,0
8/8/k1K5/8/8/8/8/8 w - - 0 1,K vs k,0,0,2,1
8/P7/8/6K1/7p/8/3N4/Nk6 w - - 0 1,2N+P vs k+p,2,1,6,1
K7/8/8/1k6/8/8/8/8 w - - 0 1,K vs k,0,0,2,1
2k5/8/K7/8/8/8/3B4/8 w - - 0 1,B vs k,0,0,3,1
4k3/8/3B4/8/1R2P3/8/K7/8 w - - 0 1,R+B+P vs k,2,1,5,1
8/8/3K4/8/8/7k/8/8 b - - 0 1,K vs k,0,0,2,0
8/3n4/2K5/8/8/4k3/4P3/1q6 b - - 0 1,P vs k+q+n,2,1,5,0
1K5p/4k1q1/8/8/8/5q2/8/8 w - - 0 1,K vs k+2q+p,-2,-2,5,1
8/8/8/8/8/8/8/2K4k b - - 0 1,K vs k,0,0,2,0
8/8/8/6q1/N7/8/2k2K2/8 w - - 0 1,N vs k+q,-2,-4,4,1
8/2k4K/8/8/8/8/8/2Q5 b - - 0 1,Q vs k,-2,-16,3,0
3K4/1k6/8/8/8/8/1p6/8 w - - 0 1,K vs k+p,-2,-2,3,1
4K3/4R3/5k2/8/5n2/1R6/8/8 b - - 0 1,2R vs k+n,-2,-8,5,0
3N4/7q/6B1/8/3K4/1Q6/8/2k5 w - - 0 1,Q+B+N vs k+q,2,1,6,1
3K4/8/r7/8/8/q6k/8/p7 w - - 0 1,K vs k+q+r+p,-2,-2,5,1
8/8/1k5n/8/1K6/8/8/8 w - - 0 1,K vs k+n,0,0,3,1
8/8/K5k1/4P3/8/8/7N/8 b - - 0 1,N+P vs k,-2,-12,4,0
k6K/4R3/4r3/8/2q5/8/2B5/8 b - - 0 1,R+B vs k+q+r,2,1,6,0
b7/8/3k4/8/8/8/3B4/K7 b - - 0 1,B vs k+b,0,0,4,0
4k3/8/8/8/4K3/8/8/8 b - - 0 1,K vs k,0,0,2,0
8/8/5K2/4k3/8/8/8/8 w - - 0 1,K vs k,0,0,2,1
8/8/8/8/2k5/8/8/7K w - - 0 1,K vs k,0,0,2,1
4k3/8/8/8/8/8/1K6/8 b - - 0 1,K vs k,0,0,2,0
8/5k2/8/8/4n1K1/8/8/8 w - - 0 1,K vs k+n,0,0,3,1
6K1/8/8/8/2k5/8/8/8 b - - 0 1,K vs k,0,0,2,0
8/8/2P5/2K5/6k1/8/8/8 b - - 0 1,P vs k,-2,-2,3,0
8/8/8/K6k/8/8/8/8 w - - 0 1,K vs k,0,0,2,1
5N2/8/7q/8/1k6/8/4K3/8 w - - 0 1,N vs k+q,-2,-4,4,1
8/8/8/6k1/8/8/8/6K1 w - - 0 1,K vs k,0,0,2,1
8/4k3/4K3/8/8/8/8/8 b - - 0 1,K vs k,0,0,2,0
K7/3P4/8/8/8/7k/8/1N3r2 w - - 0 1,N+P vs k+r,2,1,5,1
8/k1K5/8/4R3/7p/8/7P/8 b - - 0 1,R+P vs k+p,-2,-2,5,0
2K5/8/8/8/4q3/1k6/8/8 w - - 0 1,K vs k+q,-2,-12,3,1
8/8/7k/4P3/8/5K2/8/8 b - - 0 1,P vs k,0,0,3,0
8/8/8/8/8/8/4k2K/8 w - - 0 1,K vs k,0,0,2,1
1K6/7p/8/8/8/B1k5/8/8 w - - 0 1,B vs k+p,0,0,4,1
8/8/8/2Nk4/6N1/8/1p6/4K3 w - - 0 1,2N vs k+p,-2,-4,5,1
8/8/KN3k2/8/8/1R6/8/n7 w - - 0 1,R+N vs k+n,2,9,5,1
8/4nP2/3B2k1/8/8/2r5/8/3K4 b - - 0 1,B+P vs k+r+n,2,1,6,0
6B1/8/6k1/1q6/K7/8/8/8 w - - 0 1,B vs k+q,0,0,4,1
8/6k1/8/3K4/3q4/7b/8/4B2Q w - - 0 1,Q+B vs k+q+b,2,1,6,1
8/3k4/8/8/8/4K3/8/8 b - - 0 1,K vs k,0,0,2,0
4kK2/8/8/5R2/8/8/8/8 b - - 0 1,R vs k,-2,-16,3,0
8/4k3/8/8/8/8/3K4/8 b - - 0 1,K vs k,0,0,2,0
3P4/2k2K2/8/2p5/8/8/8/1P6 w - - 0 1,2P vs k+p,-2,-1,5,1
5k2/8/8/8/8/5N2/7K/8 b - - 0 1,N vs k,0,0,3,0
8/8/2K5/8/8/1k6/8/8 w - - 0 1,K vs k,0,0,2,1
8/8/5p2/7k/8/8/2K5/8 w - - 0 1,K vs k+p,-2,-2,3,1
8/8/8/6k1/1K6/8/8/8 b - - 0 1,K vs k,0,0,2,0
5r1k/8/8/8/8/2K5/8/8 w - - 0 1,K vs k+r,-2,-30,3,1
1K6/8/8/8/3k4/8/8/8 w - - 0 1,K vs k,0,0,2,1
1K6/8/P2k3r/5Q2/8/8/8/8 b - - 0 1,Q+P vs k+r,-2,-4,5,0
8/4Rq2/8/8/3rK3/8/8/1k6 b - - 0 1,R vs k+q+r,2,1,5,0
8/2N5/8/r7/8/8/2K5/7k b - - 0 1,N vs k+r,2,2,4,0
8/3K4/8/8/8/8/k1q5/8 b - - 0 1,K vs k+q,2,13,3,0
2k5/8/8/8/1N6/6K1/8/8 b - - 0 1,N vs k,0,0,3,0
8/3k4/6Q1/3K4/8/8/8/8 w - - 0 1,Q vs k,2,5,3,1
6Q1/2P5/4P3/8/8/8/7k/2K5 w - - 0 1,Q+2P vs k,2,1,5,1
5P2/3K4/4b3/R7/1k6/7R/8/8 w - - 0 1,2R+P vs k+b,2,1,6,1
8/3q4/3P4/8/8/NK6/7k/8 b - - 0 1,N+P vs k+q,2,1,5,0
4K3/8/8/1B6/3r4/8/8/2k5 b - - 0 1,B vs k+r,0,0,4,0
8/8/1k6/7K/Q7/8/8/8 b - - 0 1,Q vs k,-2,-14,3,0
3K4/8/8/8/8/8/1n1kq3/8 w - - 0 1,K vs k+q+n,-2,-10,4,1
8/3K4/8/1k6/8/8/6N1/8 w - - 0 1,N vs k,0,0,3,1
8/8/8/k2N4/8/8/3r4/3N1K2 w - - 0 1,2N vs k+r,0,0,5,1
8/8/5K2/8/8/8/2R5/1k6 w - - 0 1,R vs k,2,17,3,1
8/4K3/k7/8/6b1/8/8/8 b - - 0 1,K vs k+b,0,0,3,0
4R3/8/5K2/8/8/8/8/2k5 b - - 0 1,R vs k,-2,-24,3,0
Q5k1/8/8/8/8/8/8/3K4 b - - 0 1,Q vs k,-2,-16,3,0
8/6P1/2K1n3/8/k1p5/8/8/8 w - - 0 1,P vs k+n+p,2,1,5,1
7K/8/8/2k5/8/8/4R3/8 b - - 0 1,R vs k,-2,-30,3,0
2q5/5K2/8/8/8/2k5/8/8 b - - 0 1,K vs k+q,2,13,3,0
8/8/2k5/5P2/1K6/8/8/2b5 w - - 0 1,P vs k+b,0,0,4,1
8/6B1/4q3/8/8/n7/2k5/K7 w - - 0 1,B vs k+q+n,-2,-4,5,1
8/6q1/8/n5k1/8/3K4/8/8 b - - 0 1,K vs k+q+n,2,7,4,0
3Q4/8/8/6k1/8/8/1K6/8 b - - 0 1,Q vs k,-2,-16,3,0
8/5R2/8/8/4k3/8/8/7K b - - 0 1,R vs k,-2,-32,3,0
8/8/6k1/8/n7/8/3K4/8 w - - 0 1,K vs k+n,0,0,3,1
8/3b4/4K3/8/8/8/2k5/8 w - - 0 1,K vs k+b,0,0,3,1
8/8/8/3k4/8/7K/8/8 w - - 0 1,K vs k,0,0,2,1
8/6k1/8/8/8/b7/7K/8 w - - 0 1,K vs k+b,0,0,3,1
8/5K2/1k6/p7/8/8/2r5/8 b - - 0 1,K vs k+r+p,2,1,4,0
8/8/5K2/7k/8/2B5/N7/8 w - - 0 1,B+N vs k,2,50,4,1
8/8/8/8/1bk5/8/4K3/8 b - - 0 1,K vs k+b,0,0,3,0
8/8/6bP/8/8/8/1K6/6k1 b - - 0 1,P vs k+b,0,0,4,0
3K4/3r4/8/8/q2k4/8/8/8 w - - 0 1,K vs k+q+r,-2,-2,4,1
8/8/8/7k/3K4/8/8/8 w - - 0 1,K vs k,0,0,2,1
8/7P/p1k2nK1/4b3/8/8/8/8 b - - 0 1,P vs k+b+n+p,2,1,6,0
8/Q7/8/8/4K3/3p4/4k3/8 w - - 0 1,Q vs k+p,2,3,4,1
8/2Q2q2/8/8/5k2/8/8/6K1 b - - 0 1,Q vs k+q,2,1,4,0
8/8/8/2q5/8/K7/7n/6k1 w - - 0 1,K vs k+q+n,-2,-10,4,1
8/2n5/8/3k4/8/8/6K1/8 b - - 0 1,K vs k+n,0,0,3,0
8/8/8/8/7k/1r6/8/5K2 b - - 0 1,K vs k+r,2,17,3,0
4K3/8/7k/8/8/8/8/8 b - - 0 1,K vs k,0,0,2,0
8/8/2B5/1K6/7p/q5k1/8/8 b - - 0 1,B vs k+q+p,2,1,5,0
8/k7/8/8/8/4R3/K7/3P4 w - - 0 1,R+P vs k,2,1,4,1
8/6Q1/2k5/8/6K1/3b4/8/8 w - - 0 1,Q vs k+b,2,3,4,1
8/7K/8/4n3/8/k7/1Q6/8 b - - 0 1,Q vs k+n,0,0,4,0
6k1/4K3/8/8/8/8/8/8 w - - 0 1,K vs k,0,0,2,1
8/8/5Kqk/8/3R4/8/8/8 w - - 0 1,R vs k+q,-2,-50,4,1
3Q3K/2B5/8/8/2k5/1N6/8/8 b - - 0 1,Q+B+N vs k,-2,-6,5,0
8/8/8/2K5/8/8/8/2k5 w - - 0 1,K vs k,0,0,2,1
r3N1k1/8/8/8/6K1/8/8/8 b - - 0 1,N vs k+r,2,1,4,0
8/8/8/8/7K/8/3k4/8 b - - 0 1,K vs k,0,0,2,0
4k3/7p/8/5K2/8/8/8/8 w - - 0 1,K vs k+p,0,0,3,1
8/8/5K2/8/8/8/8/5k2 b - - 0 1,K vs k,0,0,2,0
8/8/8/8/8/8/1R6/5k1K b - - 0 1,R vs k,-2,-16,3,0
7K/8/8/8/8/6k1/8/8 b - - 0 1,K vs k,0,0,2,0
8/8/8/8/5K2/8/8/6k1 b - - 0 1,K vs k,0,0,2,0
kB6/8/7r/6K1/4p3/8/8/8 w - - 0 1,B vs k+r+p,-2,-18,5,1
8/8/8/2K5/8/8/7k/8 b - - 0 1,K vs k,0,0,2,0
8/5N2/8/8/8/8/4k2n/K2r1P2 b - - 0 1,N+P vs k+r+n,2,1,6,0
3k1K2/8/8/1N2P3/8/8/8/5B2 b - - 0 1,B+N+P vs k,-2,-2,5,0
8/8/8/8/8/2r1k3/8/1K6 w - - 0 1,K vs k+r,-2,-10,3,1
8/8/kK6/8/8/8/8/8 b - - 0 1,K vs k,0,0,2,0
8/8/8/4K3/4k3/8/8/8 b - - 0 1,K vs k,0,0,2,0
1K1B2R1/8/8/7k/8/8/8/4B3 w - - 0 1,R+2B vs k,2,9,5,1
8/4K3/k7/8/8/8/6Q1/8 w - - 0 1,Q vs k,2,7,3,1
4q3/8/8/3b4/k6K/8/8/8 b - - 0 1,K vs k+q+b,2,5,4,0
3r4/k7/8/8/1K6/8/8/5R2 w - - 0 1,R vs k+r,0,0,4,1
8/8/1k6/8/2K5/5R2/7n/8 b - - 0 1,R vs k+n,0,0,4,0
6K1/1b6/8/8/3k4/8/7B/8 b - - 0 1,B vs k+b,0,0,4,0
8/3k4/8/2N5/8/3K4/8/8 b - - 0 1,N vs k,0,0,3,0
8/5P2/r7/5K2/8/7p/2k5/8 b - - 0 1,P vs k+r+p,2,3,5,0
1K6/6p1/8/8/8/8/1q6/1k1q4 w - - 0 1,K vs k+2q+p,-2,-2,5,1
8/8/1r6/2K5/8/6k1/8/8 w - - 0 1,K vs k+r,0,0,3,1
5K2/6n1/8/8/4kr2/3N4/8/8 w - - 0 1,N vs k+r+n,0,0,5,1
8/8/8/8/k2K4/8/8/8 b - - 0 1,K vs k,0,0,2,0
7K/7B/3R4/8/1k6/8/8/8 w - - 0 1,R+B vs k,2,19,4,1
8/K7/1b3n2/8/8/8/6kn/8 w - - 0 1,K vs k+b+2n,0,0,5,1
2b5/8/8/8/8/3k4/1K6/3B4 b - - 0 1,B vs k+b,0,0,4,0
6r1/8/B4p2/8/8/8/2K4k/8 w - - 0 1,B vs k+r+p,-2,-4,5,1
7k/4b3/8/8/8/3r4/6K1/8 w - - 0 1,K vs k+r+b,-2,-20,4,1
8/8/4k3/1p2R3/8/3K4/7p/8 b - - 0 1,R vs k+2p,2,1,5,0
8/5K2/Q7/3kB3/8/8/2N5/8 w - - 0 1,Q+B+N vs k,2,1,5,1
4K3/1n6/8/8/1k6/6Np/8/8 w - - 0 1,N vs k+n+p,0,0,5,1
6k1/8/4K3/7r/8/8/8/n7 b - - 0 1,K vs k+r+n,2,15,4,0
1Q5p/8/4k3/4n3/3K4/8/8/8 w - - 0 1,Q vs k+n+p,2,1,5,1
8/8/2K5/8/8/8/8/1k6 b - - 0 1,K vs k,0,0,2,0
6n1/5k2/1K6/8/8/8/8/8 w - - 0 1,K vs k+n,0,0,3,1
8/8/6r1/8/PN6/4k3/2K5/8 w - - 0 1,N+P vs k+r,0,0,5,1
1n6/8/8/8/6k1/5Qp1/8/1K2r3 b - - 0 1,Q vs k+r+n+p,2,1,6,0
6r1/P1p5/2Q5/7k/8/8/8/1K6 w - - 0 1,Q+P vs k+r+p,2,1,6,1
8/8/8/8/8/6K1/8/2k5 w - - 0 1,K vs k,0,0,2,1
8/8/8/4k3/1K6/8/8/6r1 b - - 0 1,K vs k+r,2,17,3,0
8/4k3/8/2K5/8/8/8/8 w - - 0 1,K vs k,0,0,2,1
4K3/8/8/8/5k2/2R5/8/QN6 w - - 0 1,Q+R+N vs k,2,3,5,1
5k2/K7/2N5/8/8/8/N1n5/8 w - - 0 1,2N vs k+n,0,0,5,1
4n3/5k1K/8/8/8/4q3/8/8 b - - 0 1,K vs k+q+n,2,1,4,0
8/8/8/1K6/8/8/1k6/8 b - - 0 1,K vs k,0,0,2,0
6K1/8/7k/8/8/8/8/8 w - - 0 1,K vs k,0,0,2,1
8/r7/n1k5/4n3/8/8/8/7K b - - 0 1,K vs k+r+2n,2,9,5,0
8/8/8/8/Q5K1/8/8/6k1 w - - 0 1,Q vs k,2,3,3,1
3R4/8/3K4/8/8/2q5/7p/1N1k4 w - - 0 1,R+N vs k+q+p,2,1,6,1
8/8/8/6K1/6k1/8/8/8 b - - 0 1,K vs k,0,0,2,0
8/6q1/8/8/8/k7/8/5K2 w - - 0 1,K vs k+q,-2,-14,3,1
8/8/8/8/Kk6/8/8/8 b - - 0 1,K vs k,0,0,2,0
8/8/k7/8/8/4K3/8/8 b - - 0 1,K vs k,0,0,2,0
8/8/8/8/3k2K1/8/8/8 w - - 0 1,K vs k,0,0,2,1
7b/4N3/8/8/4K3/7k/8/8 w - - 0 1,N vs k+b,0,0,4,1
8/8/8/8/K2k4/8/2R5/8 w - - 0 1,R vs k,2,27,3,1
k4K2/8/8/8/8/8/8/8 w - - 0 1,K vs k,0,0,2,1
K5B1/8/8/8/8/8/8/5k2 b - - 0 1,B vs k,0,0,3,0
8/8/8/5K2/8/8/3k4/8 w - - 0 1,K vs k,0,0,2,1
8/2Q5/4K3/8/8/2q5/8/k7 b - - 0 1,Q vs k+q,2,1,4,0
p7/6n1/7B/8/8/8/7k/1K6 b - - 0 1,B vs k+n+p,0,0,5,0
5B2/8/8/8/2k4P/8/K7/8 w - - 0 1,B+P vs k,2,1,4,1
8/8/8/6k1/3K4/8/8/8 w - - 0 1,K vs k,0,0,2,1
8/b4R2/8/4K2k/8/8/n7/8 w - - 0 1,R vs k+b+n,2,1,5,1
8/8/8/5K2/8/8/1N2k3/6R1 b - - 0 1,R+N vs k,-2,-14,4,0
6b1/8/8/8/1b6/8/8/K6k b - - 0 1,K vs k+2b,2,20,4,0
6K1/8/8/8/8/8/2P5/k7 b - - 0 1,P vs k,-2,-2,3,0
7N/8/8/8/7B/8/5K2/1q2k3 w - - 0 1,B+N vs k+q,-2,-14,5,1
8/2R2q2/8/2K3n1/8/8/3k4/8 w - - 0 1,R vs k+q+n,0,0,5,1
8/8/8/5k2/8/3K4/8/8 w - - 0 1,K vs k,0,0,2,1
8/8/5K2/8/8/k7/8/8 w - - 0 1,K vs k,0,0,2,1
8/5k2/8/8/3K4/8/8/8 w - - 0 1,K vs k,0,0,2,1
8/2R5/7K/8/4k3/8/8/4b3 w - - 0 1,R vs k+b,2,2,4,1
2p5/8/k7/8/8/8/8/7K b - - 0 1,K vs k+p,2,1,3,0
7K/8/8/8/k7/8/8/8 w - - 0 1,K vs k,0,0,2,1
1r5K/8/8/8/8/q7/8/5k2 w - - 0 1,K vs k+q+r,-2,-4,4,1
8/3k4/8/8/8/1K6/8/8 b - - 0 1,K vs k,0,0,2,0
8/1q2b3/8/1B6/8/1N6/3K4/5k2 b - - 0 1,B+N vs k+q+b,2,1,6,0
3k4/8/8/8/8/4K3/7Q/8 b - - 0 1,Q vs k,-2,-14,3,0
k1N5/8/8/8/4K3/8/6B1/8 w - - 0 1,B+N vs k,2,26,4,1
4k3/6K1/8/P7/8/8/8/8 b - - 0 1,P vs k,0,0,3,0
6q1/3K4/8/8/2p4k/8/8/8 b - - 0 1,K vs k+q+p,2,1,4,0
8/6k1/5R2/8/5K1Q/8/8/8 b - - 0 1,Q+R vs k,-2,-2,4,0
8/4k3/4N3/5q2/8/4q3/6K1/8 w - - 0 1,N vs k+2q,-2,-2,5,1
8/3k4/8/1pK5/8/8/8/8 w - - 0 1,K vs k+p,0,0,3,1
2Q5/2pP4/8/8/8/2k2N2/8/7K w - - 0 1,Q+N+P vs k+p,2,1,6,1
1R6/4r1p1/8/k3K3/8/8/8/8 w - - 0 1,R vs k+r+p,0,0,5,1
8/8/1k6/8/6K1/8/8/8 b - - 0 1,K vs k,0,0,2,0
8/8/8/6k1/1Q6/1r3K2/8/8 w - - 0 1,Q vs k+r,2,1,4,1
8/1K6/4p3/8/8/2k5/8/8 w - - 0 1,K vs k+p,-2,-4,3,1
8/3B4/8/5p2/1k6/3K4/6r1/8 b - - 0 1,B vs k+r+p,0,0,5,0
8/K7/8/1k6/1Q6/8/8/8 b - - 0 1,Q vs k,0,0,3,0
8/8/8/8/8/7K/8/5k2 w - - 0 1,K vs k,0,0,2,1
8/6n1/8/8/8/1K3k2/8/8 b - - 0 1,K vs k+n,0,0,3,0
8/8/2r5/6k1/8/7P/8/4K3 w - - 0 1,P vs k+r,-2,-6,4,1
7k/8/2B2K2/8/8/8/8/8 w - - 0 1,B vs k,0,0,3,1
6p1/8/3r4/8/8/8/4k3/6K1 b - - 0 1,K vs k+r+p,2,1,4,0
8/8/8/8/8/6k1/1q6/4K3 w - - 0 1,K vs k+q,-2,-4,3,1
8/5k2/8/8/8/8/4K3/b7 b - - 0 1,K vs k+b,0,0,3,0
5k2/1P6/B7/8/8/7K/8/2q5 b - - 0 1,B+P vs k+q,2,11,5,0
8/8/4k3/4K3/8/8/8/8 b - - 0 1,K vs k,0,0,2,0
8/8/8/6k1/8/8/K7/8 w - - 0 1,K vs k,0,0,2,1
2k5/4K3/2B5/8/8/4B3/8/8 b - - 0 1,2B vs k,-2,-17,4,0
8/8/p5K1/8/8/8/2n5/4k3 w - - 0 1,K vs k+n+p,-2,-2,4,1
8/8/4K3/3k4/8/8/8/8 b - - 0 1,K vs k,0,0,2,0
8/8/8/8/5k2/4p3/6K1/b7 b - - 0 1,K vs k+b+p,2,5,4,0
8/8/8/4kP2/8/8/2K5/8 b - - 0 1,P vs k,0,0,3,0
8/8/8/8/b5n1/8/1b2K3/k7 b - - 0 1,K vs k+2b+n,2,9,5,0
8/3R4/K7/8/8/8/1k6/8 w - - 0 1,R vs k,2,15,3,1
8/6K1/8/8/8/3k4/8/8 b - - 0 1,K vs k,0,0,2,0
8/2Q5/8/2k5/6K1/3N4/8/8 b - - 0 1,Q+N vs k,-2,-6,4,0
2K5/8/1N6/4P3/8/8/6k1/4P3 b - - 0 1,N+2P vs k,-2,-2,5,0
4P3/8/8/8/8/5k2/8/4K3 w - - 0 1,P vs k,0,0,3,1
8/8/8/8/5K2/5k2/8/8 b - - 0 1,K vs k,0,0,2,0
8/8/2k2K2/8/8/8/N7/8 w - - 0 1,N vs k,0,0,3,1
8/6k1/8/8/8/8/2Q1p3/4K3 b - - 0 1,Q vs k+p,-2,-2,4,0
6K1/8/8/8/8/7k/8/8 b - - 0 1,K vs k,0,0,2,0
8/k7/8/2K5/8/8/8/1q6 b - - 0 1,K vs k+q,2,9,3,0
8/8/8/8/8/6k1/1n6/2K5 w - - 0 1,K vs k+n,0,0,3,1
8/7K/8/8/3k4/8/8/8 b - - 0 1,K vs k,0,0,2,0
8/8/8/8/N6p/8/8/1K3k2 w - - 0 1,N vs k+p,-2,-2,4,1
8/2k5/5K2/8/8/8/8/8 w - - 0 1,K vs k,0,0,2,1
5K2/3r4/8/4n3/8/5k2/4q3/8 b - - 0 1,K vs k+q+r+n,2,3,5,0
8/6K1/3k4/8/8/8/8/8 w - - 0 1,K vs k,0,0,2,1
1K6/8/8/8/8/8/8/6k1 b - - 0 1,K vs k,0,0,2,0
6K1/8/8/4k3/8/8/8/8 w - - 0 1,K vs k,0,0,2,1
8/8/8/3k4/8/q6K/8/8 w - - 0 1,K vs k+q,-2,-10,3,1
6K1/8/8/1k6/6Q1/8/4n3/8 b - - 0 1,Q vs k+n,-2,-24,4,0
8/1n6/4N3/8/1K3k2/8/8/8 b - - 0 1,N vs k+n,0,0,4,0
8/8/8/7k/8/8/8/1K6 b - - 0 1,K vs k,0,0,2,0
8/4K3/4q3/8/8/8/8/1k6 w - - 0 1,K vs k+q,0,0,3,1
1qQ5/8/8/8/p3n3/8/6K1/3k4 w - - 0 1,Q vs k+q+n+p,2,1,6,1
K2k4/1b6/N7/8/8/8/8/2N2P2 w - - 0 1,2N+P vs k+b,2,1,6,1
8/2k5/8/8/8/8/8/K7 b - - 0 1,K vs k,0,0,2,0
8/3k4/8/8/8/8/1n6/3n2K1 w - - 0 1,K vs k+2n,0,0,4,1
4K3/8/8/8/8/3k4/8/8 b - - 0 1,K vs k,0,0,2,0
7K/4k3/8/8/8/8/4Q3/8 b - - 0 1,Q vs k,-2,-14,3,0
8/8/8/7k/8/3K4/P7/8 w - - 0 1,P vs k,2,1,3,1
K7/8/8/8/8/5k2/8/8 b - - 0 1,K vs k,0,0,2,0
K7/8/8/8/8/8/7k/8 w - - 0 1,K vs k,0,0,2,1
8/8/6b1/6K1/2k5/8/2N2N2/8 b - - 0 1,2N vs k+b,0,0,5,0
3k4/8/5q2/8/8/8/2P5/3K4 w - - 0 1,P vs k+q,-2,-6,4,1
K7/8/8/8/p6p/6r1/k7/8 w - - 0 1,K vs k+r+2p,-2,-2,5,1
8/8/8/n2n2K1/1k6/7B/8/6n1 b - - 0 1,B vs k+3n,2,1,6,0
8/8/6B1/2K5/8/8/8/2k5 w - - 0 1,B vs k,0,0,3,1
8/8/2K4R/k7/8/8/8/8 b - - 0 1,R vs k,-2,-20,3,0
5K2/8/7k/2p5/8/8/8/8 b - - 0 1,K vs k+p,2,1,3,0
3K4/7k/8/n7/6B1/8/8/8 w - - 0 1,B vs k+n,0,0,4,1
K1b5/8/8/1b1k4/8/8/8/8 w - - 0 1,K vs k+2b,0,0,4,1
N7/8/5k2/8/3p4/1K6/7B/8 b - - 0 1,B+N vs k+p,-2,-6,5,0
8/8/8/2k5/8/8/4K3/8 b - - 0 1,K vs k,0,0,2,0
8/2k5/8/8/5K2/8/8/8 w - - 0 1,K vs k,0,0,2,1
8/8/8/8/8/2K2k2/8/8 b - - 0 1,K vs k,0,0,2,0
8/8/8/2K5/8/8/8/k7 b - - 0 1,K vs k,0,0,2,0
8/5k2/8/8/8/8/8/5K2 b - - 0 1,K vs k,0,0,2,0
8/8/8/8/3k4/4pP2/2K5/2N5 b - - 0 1,N+P vs k+p,-2,-4,5,0
2K5/4k3/8/4N3/8/8/8/6r1 w - - 0 1,N vs k+r,0,0,4,1
3K4/2N4k/8/8/8/8/1B6/8 b - - 0 1,B+N vs k,-2,-57,4,0
n5K1/2n5/8/8/5k2/1p6/8/8 b - - 0 1,K vs k+2n+p,2,1,5,0
8/8/8/7k/8/8/3K4/8 b - - 0 1,K vs k,0,0,2,0
6k1/8/8/8/8/1K6/8/8 b - - 0 1,K vs k,0,0,2,0
8/8/8/6k1/8/8/6K1/6p1 b - - 0 1,K vs k+p,2,3,3,0
8/8/8/8/1K2k3/8/8/8 b - - 0 1,K vs k,0,0,2,0
4R2R/8/8/k7/5K2/8/2r5/8 w - - 0 1,2R vs k+r,2,7,5,1
8/8/8/8/8/8/2K2b2/k7 w - - 0 1,K vs k+b,0,0,3,1
8/8/1K6/6P1/b1k5/8/8/8 w - - 0 1,P vs k+b,0,0,4,1
8/8/6k1/8/8/8/K7/8 b - - 0 1,K vs k,0,0,2,0
1k6/8/8/8/8/1K6/8/8 b - - 0 1,K vs k,0,0,2,0
8/8/7K/1P6/8/1p6/8/k4N2 w - - 0 1,N+P vs k+p,2,1,5,1
8/8/8/8/4bq1k/8/2K5/3n4 w - - 0 1,K vs k+q+b+n,-2,-4,5,1
4R3/6k1/8/8/8/8/8/K6n w - - 0 1,R vs k+n,0,0,4,1
n5k1/8/8/1P6/1K6/8/8/8 b - - 0 1,P vs k+n,0,0,4,0
8/8/8/K7/4N3/2n5/8/4k3 b - - 0 1,N vs k+n,0,0,4,0
8/1k6/8/8/8/5R2/7K/8 b - - 0 1,R vs k,-2,-28,3,0
3K3k/8/8/8/5B2/8/8/8 w - - 0 1,B vs k,0,0,3,1
8/2P5/8/4n3/2K5/4k2P/8/8 w - - 0 1,2P vs k+n,2,3,5,1
8/8/6k1/8/8/6K1/8/8 b - - 0 1,K vs k,0,0,2,0
8/8/8/n7/K7/4N3/8/6k1 w - - 0 1,N vs k+n,0,0,4,1
8/8/7B/8/2k2r2/8/K4p2/8 w - - 0 1,B vs k+r+p,-2,-2,5,1
8/8/8/8/8/5k2/8/K1R5 b - - 0 1,R vs k,-2,-30,3,0
8/8/6K1/8/3k4/8/8/8 w - - 0 1,K vs k,0,0,2,1
8/4k3/8/8/8/8/7K/8 b - - 0 1,K vs k,0,0,2,0
2K5/N7/1k6/8/8/8/8/8 w - - 0 1,N vs k,0,0,3,1
p7/Q2K4/8/5k2/8/1Q6/2b5/8 w - - 0 1,2Q vs k+b+p,2,1,6,1
